Name;incr_pd_notation
10_2;[[20, 9, 1, 10], [10, 1, 11, 2], [2, 11, 3, 12], [12, 3, 13, 4], [4, 13, 5, 14], [14, 5, 15, 6], [6, 15, 7, 16], [18, 8, 19, 7], [8, 18, 9, 17], [16, 19, 17, 20]]
10_3;[[15, 20, 16, 1], [1, 14, 2, 15], [13, 2, 14, 3], [3, 12, 4, 13], [11, 4, 12, 5], [5, 10, 6, 11], [19, 7, 20, 6], [7, 19, 8, 18], [17, 9, 18, 8], [9, 17, 10, 16]]
10_4;[[15, 1, 16, 20], [1, 15, 2, 14], [13, 3, 14, 2], [3, 13, 4, 12], [11, 5, 12, 4], [5, 11, 6, 10], [19, 6, 20, 7], [7, 16, 8, 17], [17, 8, 18, 9], [9, 18, 10, 19]]
10_5;[[9, 1, 10, 20], [1, 11, 2, 10], [11, 3, 12, 2], [3, 13, 4, 12], [13, 5, 14, 4], [5, 15, 6, 14], [17, 6, 18, 7], [7, 18, 8, 19], [15, 9, 16, 8], [19, 16, 20, 17]]
10_6;[[20, 13, 1, 14], [14, 1, 15, 2], [2, 15, 3, 16], [16, 3, 17, 4], [4, 17, 5, 18], [12, 5, 13, 6], [6, 11, 7, 12], [10, 7, 11, 8], [8, 20, 9, 19], [18, 10, 19, 9]]
10_7;[[13, 20, 14, 1], [1, 12, 2, 13], [11, 2, 12, 3], [3, 10, 4, 11], [9, 4, 10, 5], [5, 14, 6, 15], [15, 6, 16, 7], [7, 19, 8, 18], [17, 9, 18, 8], [19, 16, 20, 17]]
10_8;[[9, 20, 10, 1], [1, 10, 2, 11], [11, 2, 12, 3], [3, 12, 4, 13], [13, 4, 14, 5], [5, 19, 6, 18], [17, 7, 18, 6], [7, 17, 8, 16], [15, 9, 16, 8], [19, 14, 20, 15]]
10_9;[[11, 1, 12, 20], [1, 13, 2, 12], [13, 3, 14, 2], [3, 15, 4, 14], [15, 5, 16, 4], [5, 11, 6, 10], [19, 6, 20, 7], [7, 16, 8, 17], [17, 8, 18, 9], [9, 18, 10, 19]]
10_10;[[13, 1, 14, 20], [1, 13, 2, 12], [11, 3, 12, 2], [3, 11, 4, 10], [9, 5, 10, 4], [5, 15, 6, 14], [19, 7, 20, 6], [7, 16, 8, 17], [17, 8, 18, 9], [15, 18, 16, 19]]
10_11;[[20, 14, 1, 13], [12, 2, 13, 1], [2, 12, 3, 11], [10, 4, 11, 3], [4, 17, 5, 18], [18, 5, 19, 6], [6, 19, 7, 20], [16, 7, 17, 8], [8, 15, 9, 16], [14, 9, 15, 10]]
10_12;[[20, 12, 1, 11], [12, 2, 13, 1], [2, 14, 3, 13], [14, 4, 15, 3], [4, 7, 5, 8], [18, 5, 19, 6], [6, 19, 7, 20], [8, 18, 9, 17], [16, 10, 17, 9], [10, 16, 11, 15]]
10_13;[[20, 15, 1, 16], [14, 1, 15, 2], [2, 13, 3, 14], [12, 3, 13, 4], [4, 9, 5, 10], [8, 5, 9, 6], [6, 20, 7, 19], [18, 8, 19, 7], [10, 18, 11, 17], [16, 12, 17, 11]]
10_14;[[20, 11, 1, 12], [12, 1, 13, 2], [2, 13, 3, 14], [14, 3, 15, 4], [4, 17, 5, 18], [8, 5, 9, 6], [6, 20, 7, 19], [18, 8, 19, 7], [16, 9, 17, 10], [10, 15, 11, 16]]
10_15;[[11, 20, 12, 1], [1, 12, 2, 13], [7, 3, 8, 2], [3, 17, 4, 16], [17, 5, 18, 4], [5, 19, 6, 18], [19, 7, 20, 6], [15, 8, 16, 9], [9, 14, 10, 15], [13, 10, 14, 11]]
10_16;[[20, 14, 1, 13], [12, 2, 13, 1], [2, 12, 3, 11], [8, 4, 9, 3], [4, 17, 5, 18], [16, 5, 17, 6], [6, 15, 7, 16], [14, 7, 15, 8], [18, 10, 19, 9], [10, 20, 11, 19]]
10_17;[[11, 20, 12, 1], [1, 12, 2, 13], [13, 2, 14, 3], [3, 14, 4, 15], [19, 4, 20, 5], [5, 11, 6, 10], [15, 7, 16, 6], [7, 17, 8, 16], [17, 9, 18, 8], [9, 19, 10, 18]]
10_18;[[20, 16, 1, 15], [14, 2, 15, 1], [2, 14, 3, 13], [12, 4, 13, 3], [4, 17, 5, 18], [10, 5, 11, 6], [6, 9, 7, 10], [18, 7, 19, 8], [8, 19, 9, 20], [16, 11, 17, 12]]
10_19;[[20, 11, 1, 12], [10, 1, 11, 2], [2, 9, 3, 10], [14, 4, 15, 3], [4, 16, 5, 15], [16, 6, 17, 5], [6, 18, 7, 17], [12, 7, 13, 8], [8, 19, 9, 20], [18, 14, 19, 13]]
10_20;[[20, 5, 1, 6], [6, 1, 7, 2], [2, 7, 3, 8], [14, 4, 15, 3], [4, 14, 5, 13], [8, 19, 9, 20], [18, 9, 19, 10], [10, 17, 11, 18], [16, 11, 17, 12], [12, 15, 13, 16]]
10_21;[[11, 1, 12, 20], [1, 11, 2, 10], [13, 2, 14, 3], [3, 14, 4, 15], [15, 4, 16, 5], [5, 16, 6, 17], [19, 6, 20, 7], [7, 18, 8, 19], [17, 8, 18, 9], [9, 12, 10, 13]]
10_22;[[20, 14, 1, 13], [14, 2, 15, 1], [2, 16, 3, 15], [12, 4, 13, 3], [4, 12, 5, 11], [10, 6, 11, 5], [6, 17, 7, 18], [18, 7, 19, 8], [8, 19, 9, 20], [16, 9, 17, 10]]
10_23;[[20, 10, 1, 9], [10, 2, 11, 1], [2, 12, 3, 11], [16, 4, 17, 3], [4, 13, 5, 14], [14, 5, 15, 6], [6, 20, 7, 19], [18, 8, 19, 7], [8, 18, 9, 17], [12, 15, 13, 16]]
10_24;[[20, 10, 1, 9], [8, 2, 9, 1], [2, 8, 3, 7], [10, 4, 11, 3], [4, 12, 5, 11], [16, 5, 17, 6], [6, 15, 7, 16], [12, 20, 13, 19], [18, 14, 19, 13], [14, 18, 15, 17]]
10_25;[[20, 13, 1, 14], [14, 1, 15, 2], [2, 15, 3, 16], [12, 3, 13, 4], [4, 11, 5, 12], [16, 5, 17, 6], [6, 17, 7, 18], [10, 7, 11, 8], [8, 20, 9, 19], [18, 10, 19, 9]]
10_26;[[20, 11, 1, 12], [10, 1, 11, 2], [2, 9, 3, 10], [12, 3, 13, 4], [4, 13, 5, 14], [18, 6, 19, 5], [6, 16, 7, 15], [16, 8, 17, 7], [8, 18, 9, 17], [14, 19, 15, 20]]
10_27;[[3, 1, 4, 20], [1, 11, 2, 10], [11, 3, 12, 2], [17, 4, 18, 5], [5, 16, 6, 17], [13, 6, 14, 7], [7, 14, 8, 15], [15, 8, 16, 9], [9, 18, 10, 19], [19, 12, 20, 13]]
10_28;[[20, 7, 1, 8], [8, 1, 9, 2], [2, 16, 3, 15], [14, 4, 15, 3], [4, 14, 5, 13], [16, 6, 17, 5], [6, 9, 7, 10], [10, 20, 11, 19], [18, 12, 19, 11], [12, 18, 13, 17]]
10_29;[[20, 10, 1, 9], [8, 2, 9, 1], [2, 15, 3, 16], [16, 3, 17, 4], [4, 17, 5, 18], [14, 5, 15, 6], [6, 11, 7, 12], [10, 7, 11, 8], [12, 20, 13, 19], [18, 14, 19, 13]]
10_30;[[20, 11, 1, 12], [14, 1, 15, 2], [2, 13, 3, 14], [12, 3, 13, 4], [4, 19, 5, 20], [18, 5, 19, 6], [6, 9, 7, 10], [16, 8, 17, 7], [8, 16, 9, 15], [10, 17, 11, 18]]
10_31;[[7, 20, 8, 1], [1, 6, 2, 7], [5, 2, 6, 3], [3, 14, 4, 15], [15, 4, 16, 5], [13, 9, 14, 8], [9, 19, 10, 18], [17, 11, 18, 10], [11, 17, 12, 16], [19, 13, 20, 12]]
10_32;[[20, 8, 1, 7], [8, 2, 9, 1], [2, 10, 3, 9], [14, 3, 15, 4], [4, 15, 5, 16], [18, 5, 19, 6], [6, 11, 7, 12], [10, 20, 11, 19], [12, 17, 13, 18], [16, 13, 17, 14]]
10_33;[[13, 20, 14, 1], [1, 12, 2, 13], [11, 2, 12, 3], [3, 14, 4, 15], [19, 4, 20, 5], [5, 11, 6, 10], [15, 7, 16, 6], [7, 19, 8, 18], [17, 9, 18, 8], [9, 17, 10, 16]]
10_34;[[20, 12, 1, 11], [12, 2, 13, 1], [2, 5, 3, 6], [18, 3, 19, 4], [4, 19, 5, 20], [6, 18, 7, 17], [16, 8, 17, 7], [8, 16, 9, 15], [14, 10, 15, 9], [10, 14, 11, 13]]
10_35;[[13, 20, 14, 1], [1, 12, 2, 13], [19, 3, 20, 2], [3, 19, 4, 18], [17, 5, 18, 4], [5, 17, 6, 16], [11, 6, 12, 7], [7, 10, 8, 11], [15, 9, 16, 8], [9, 15, 10, 14]]
10_36;[[9, 20, 10, 1], [1, 8, 2, 9], [7, 2, 8, 3], [3, 6, 4, 7], [13, 4, 14, 5], [5, 14, 6, 15], [15, 10, 16, 11], [11, 19, 12, 18], [17, 13, 18, 12], [19, 16, 20, 17]]
10_37;[[7, 20, 8, 1], [1, 6, 2, 7], [5, 2, 6, 3], [3, 10, 4, 11], [11, 4, 12, 5], [15, 9, 16, 8], [9, 17, 10, 16], [19, 13, 20, 12], [13, 19, 14, 18], [17, 15, 18, 14]]
10_38;[[20, 14, 1, 13], [12, 2, 13, 1], [2, 7, 3, 8], [6, 3, 7, 4], [4, 17, 5, 18], [18, 5, 19, 6], [8, 19, 9, 20], [16, 9, 17, 10], [10, 15, 11, 16], [14, 11, 15, 12]]
10_39;[[20, 9, 1, 10], [10, 1, 11, 2], [2, 11, 3, 12], [14, 3, 15, 4], [4, 15, 5, 16], [8, 5, 9, 6], [6, 20, 7, 19], [18, 8, 19, 7], [12, 17, 13, 18], [16, 13, 17, 14]]
