Name;PD Notation;Determinant;white_edge_graph;det_white_graph;edge_graph
12a_948;"[[1;7;2;6];[3;11;4;10];[5;19;6;18];[7;15;8;14];[9;3;10;2];[11;22;12;23];[13;9;14;8];[15;20;16;21];[17;5;18;4];[19;24;20;1];[21;12;22;13];[23;16;24;17]]";251;[(1, 3, 1), (1, 5, 1), (1, 7, 1), (1, 7, 1), (3, 5, 1), (3, 12, 1), (3, 12, 1), (5, 12, 1), (5, 13, 1), (7, 12, 1), (7, 12, 1), (7, 13, 1)];251;[(0, 9, -1), (0, 10, -1), (0, 11, -1), (1, 3, 1), (1, 5, 1), (1, 7, 1), (1, 7, 1), (2, 9, -1), (2, 11, -1), (3, 5, 1), (3, 12, 1), (3, 12, 1), (4, 10, -1), (4, 11, -1), (5, 12, 1), (5, 13, 1), (6, 8, -1), (6, 9, -1), (6, 9, -1), (6, 10, -1), (7, 12, 1), (7, 12, 1), (7, 13, 1), (8, 11, -1)]
12a_949;"[[1;7;2;6];[3;10;4;11];[5;18;6;19];[7;15;8;14];[9;21;10;20];[11;4;12;5];[13;9;14;8];[15;23;16;22];[17;1;18;24];[19;2;20;3];[21;13;22;12];[23;17;24;16]]";207;[(0, 6, -1), (0, 7, -1), (2, 4, -1), (2, 4, -1), (2, 7, -1), (2, 8, -1), (4, 6, -1), (4, 8, -1), (4, 12, -1), (6, 12, -1), (8, 12, -1), (8, 12, -1)];207;[(0, 6, -1), (0, 7, -1), (1, 5, 1), (1, 10, 1), (1, 10, 1), (1, 10, 1), (1, 13, 1), (2, 4, -1), (2, 4, -1), (2, 7, -1), (2, 8, -1), (3, 10, 1), (3, 11, 1), (3, 13, 1), (4, 6, -1), (4, 8, -1), (4, 12, -1), (5, 10, 1), (5, 11, 1), (6, 12, -1), (8, 12, -1), (8, 12, -1), (9, 10, 1), (9, 11, 1)]
12a_950;"[[1;7;2;6];[3;10;4;11];[5;18;6;19];[7;15;8;14];[9;21;10;20];[11;4;12;5];[13;9;14;8];[15;1;16;24];[17;23;18;22];[19;2;20;3];[21;13;22;12];[23;17;24;16]]";197;[(0, 3, -1), (0, 3, -1), (0, 5, -1), (0, 5, -1), (0, 5, -1), (0, 7, -1), (3, 5, -1), (3, 7, -1), (3, 11, -1), (5, 11, -1), (7, 11, -1), (7, 11, -1)];197;[(0, 3, -1), (0, 3, -1), (0, 5, -1), (0, 5, -1), (0, 5, -1), (0, 7, -1), (1, 9, 1), (1, 13, 1), (2, 9, 1), (2, 10, 1), (2, 12, 1), (3, 5, -1), (3, 7, -1), (3, 11, -1), (4, 6, 1), (4, 9, 1), (4, 10, 1), (5, 11, -1), (6, 12, 1), (6, 13, 1), (7, 11, -1), (7, 11, -1), (8, 9, 1), (8, 10, 1)]
12a_951;"[[1;7;2;6];[3;10;4;11];[5;19;6;18];[7;14;8;15];[9;20;10;21];[11;4;12;5];[13;24;14;1];[15;23;16;22];[17;3;18;2];[19;12;20;13];[21;17;22;16];[23;8;24;9]]";295;[(0, 2, -1), (0, 7, -1), (0, 11, -1), (2, 6, -1), (2, 7, -1), (2, 7, -1), (2, 11, -1), (4, 6, -1), (4, 6, -1), (4, 7, -1), (4, 11, -1), (6, 11, -1)];295;[(0, 2, -1), (0, 7, -1), (0, 11, -1), (1, 8, 1), (1, 10, 1), (1, 13, 1), (2, 6, -1), (2, 7, -1), (2, 7, -1), (2, 11, -1), (3, 8, 1), (3, 9, 1), (3, 12, 1), (3, 13, 1), (4, 6, -1), (4, 6, -1), (4, 7, -1), (4, 11, -1), (5, 8, 1), (5, 9, 1), (5, 12, 1), (6, 11, -1), (8, 10, 1), (10, 12, 1)]
12a_952;"[[1;7;2;6];[3;11;4;10];[5;18;6;19];[7;17;8;16];[9;3;10;2];[11;21;12;20];[13;23;14;22];[15;9;16;8];[17;1;18;24];[19;4;20;5];[21;13;22;12];[23;15;24;14]]";123;[(1, 4, 1), (1, 4, 1), (1, 11, 1), (1, 11, 1), (1, 11, 1), (1, 11, 1), (1, 13, 1), (4, 6, 1), (4, 11, 1), (4, 11, 1), (6, 11, 1), (6, 13, 1)];123;[(0, 5, -1), (0, 7, -1), (0, 7, -1), (0, 8, -1), (1, 4, 1), (1, 4, 1), (1, 11, 1), (1, 11, 1), (1, 11, 1), (1, 11, 1), (1, 13, 1), (2, 8, -1), (2, 9, -1), (3, 9, -1), (3, 10, -1), (3, 12, -1), (4, 6, 1), (4, 11, 1), (4, 11, 1), (5, 7, -1), (5, 12, -1), (6, 11, 1), (6, 13, 1), (7, 10, -1)]
12a_953;"[[1;7;2;6];[3;11;4;10];[5;18;6;19];[7;17;8;16];[9;3;10;2];[11;21;12;20];[13;23;14;22];[15;9;16;8];[17;1;18;24];[19;4;20;5];[21;15;22;14];[23;13;24;12]]";185;[(0, 5, -1), (0, 7, -1), (0, 7, -1), (0, 8, -1), (0, 8, -1), (0, 8, -1), (3, 8, -1), (3, 9, -1), (3, 11, -1), (5, 7, -1), (5, 11, -1), (7, 9, -1)];185;[(0, 5, -1), (0, 7, -1), (0, 7, -1), (0, 8, -1), (0, 8, -1), (0, 8, -1), (1, 10, 1), (1, 13, 1), (2, 4, 1), (2, 4, 1), (2, 10, 1), (2, 12, 1), (2, 13, 1), (3, 8, -1), (3, 9, -1), (3, 11, -1), (4, 6, 1), (4, 10, 1), (4, 10, 1), (5, 7, -1), (5, 11, -1), (6, 10, 1), (6, 12, 1), (7, 9, -1)]
12a_954;"[[1;7;2;6];[3;10;4;11];[5;18;6;19];[7;17;8;16];[9;21;10;20];[11;4;12;5];[13;23;14;22];[15;9;16;8];[17;1;18;24];[19;2;20;3];[21;13;22;12];[23;15;24;14]]";211;[(0, 3, -1), (0, 3, -1), (0, 5, -1), (0, 7, -1), (2, 7, -1), (2, 8, -1), (3, 5, -1), (3, 8, -1), (3, 12, -1), (5, 12, -1), (8, 12, -1), (8, 12, -1)];211;[(0, 3, -1), (0, 3, -1), (0, 5, -1), (0, 7, -1), (1, 10, 1), (1, 10, 1), (1, 10, 1), (1, 11, 1), (1, 13, 1), (2, 7, -1), (2, 8, -1), (3, 5, -1), (3, 8, -1), (3, 12, -1), (4, 6, 1), (4, 10, 1), (4, 11, 1), (5, 12, -1), (6, 10, 1), (6, 13, 1), (8, 12, -1), (8, 12, -1), (9, 10, 1), (9, 11, 1)]
12a_955;"[[1;7;2;6];[3;10;4;11];[5;18;6;19];[7;17;8;16];[9;21;10;20];[11;4;12;5];[13;23;14;22];[15;9;16;8];[17;1;18;24];[19;2;20;3];[21;15;22;14];[23;13;24;12]]";193;[(0, 3, -1), (0, 3, -1), (0, 5, -1), (0, 7, -1), (0, 7, -1), (0, 7, -1), (3, 5, -1), (3, 7, -1), (3, 11, -1), (5, 11, -1), (7, 11, -1), (7, 11, -1)];193;[(0, 3, -1), (0, 3, -1), (0, 5, -1), (0, 7, -1), (0, 7, -1), (0, 7, -1), (1, 9, 1), (1, 13, 1), (2, 10, 1), (2, 12, 1), (2, 13, 1), (3, 5, -1), (3, 7, -1), (3, 11, -1), (4, 6, 1), (4, 9, 1), (4, 10, 1), (5, 11, -1), (6, 9, 1), (6, 12, 1), (7, 11, -1), (7, 11, -1), (8, 9, 1), (8, 10, 1)]
12a_956;"[[1;7;2;6];[3;10;4;11];[5;19;6;18];[7;16;8;17];[9;20;10;21];[11;4;12;5];[13;22;14;23];[15;24;16;1];[17;3;18;2];[19;12;20;13];[21;8;22;9];[23;14;24;15]]";209;[(0, 10, -1), (0, 10, -1), (0, 10, -1), (0, 11, -1), (0, 13, -1), (3, 5, -1), (3, 5, -1), (3, 10, -1), (3, 13, -1), (5, 10, -1), (5, 11, -1), (10, 11, -1)];209;[(0, 10, -1), (0, 10, -1), (0, 10, -1), (0, 11, -1), (0, 13, -1), (1, 6, 1), (1, 7, 1), (2, 7, 1), (2, 7, 1), (2, 8, 1), (2, 9, 1), (2, 12, 1), (3, 5, -1), (3, 5, -1), (3, 10, -1), (3, 13, -1), (4, 7, 1), (4, 8, 1), (4, 12, 1), (5, 10, -1), (5, 11, -1), (6, 9, 1), (9, 12, 1), (10, 11, -1)]
12a_957;"[[1;7;2;6];[3;10;4;11];[5;19;6;18];[7;16;8;17];[9;20;10;21];[11;4;12;5];[13;24;14;1];[15;22;16;23];[17;3;18;2];[19;12;20;13];[21;8;22;9];[23;14;24;15]]";203;[(1, 3, 1), (1, 7, 1), (1, 7, 1), (1, 7, 1), (1, 11, 1), (3, 7, 1), (3, 7, 1), (3, 8, 1), (3, 11, 1), (5, 7, 1), (5, 8, 1), (5, 11, 1)];203;[(0, 9, -1), (0, 13, -1), (1, 3, 1), (1, 7, 1), (1, 7, 1), (1, 7, 1), (1, 11, 1), (2, 10, -1), (2, 12, -1), (2, 13, -1), (3, 7, 1), (3, 7, 1), (3, 8, 1), (3, 11, 1), (4, 6, -1), (4, 6, -1), (4, 9, -1), (4, 12, -1), (5, 7, 1), (5, 8, 1), (5, 11, 1), (6, 9, -1), (6, 10, -1), (9, 10, -1)]
12a_958;"[[1;7;2;6];[3;10;4;11];[5;19;6;18];[7;16;8;17];[9;22;10;23];[11;4;12;5];[13;20;14;21];[15;24;16;1];[17;3;18;2];[19;12;20;13];[21;14;22;15];[23;8;24;9]]";197;[(0, 10, -1), (0, 11, -1), (0, 13, -1), (2, 5, -1), (2, 5, -1), (2, 10, -1), (2, 10, -1), (2, 10, -1), (2, 13, -1), (5, 10, -1), (5, 11, -1), (10, 11, -1)];197;[(0, 10, -1), (0, 11, -1), (0, 13, -1), (1, 6, 1), (1, 6, 1), (1, 8, 1), (1, 9, 1), (1, 12, 1), (2, 5, -1), (2, 5, -1), (2, 10, -1), (2, 10, -1), (2, 10, -1), (2, 13, -1), (3, 6, 1), (3, 7, 1), (4, 7, 1), (4, 8, 1), (4, 12, 1), (5, 10, -1), (5, 11, -1), (6, 9, 1), (9, 12, 1), (10, 11, -1)]
