name,seifert_matrix,det_seifert_matrix,laplacian,det_laplacian,alexander_polynomial
Name,Seifert Matrix,Error,Laplacian,Laplacian Determinant,Alexander
12a_296,"[[ -1, 0, -1, -1, 0, -1], [ 0, 1, 0, 0, 0, 0], [ 0, 0, -2, -1, 0, -1], [ 0, -1, -2, -2, 0, -1], [ 0, 0, 0, -1, 1, -1], [ 0, 0, -1, -1, 0, -2]]",3,,,3-21*t+55*t^2-73*t^3+55*t^4-21*t^5+3*t^6
12a_297,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, 0, 0, 0, 0], [ -1, -1, 1, 0, 1, -1, 0, 0], [ -1, -1, 1, 1, 1, -1, 0, 1], [ 0, 0, 0, 0, 1, 0, 0, 0], [ 0, 0, 0, 0, -1, 2, 1, 0], [ 0, 0, 0, 0, 0, 0, 1, 0], [ -1, -1, 1, 0, 1, -1, 0, 1]]",2,,,2-8*t+19*t^2-30*t^3+35*t^4-30*t^5+19*t^6-8*t^7+2*t^8
12a_298,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, 0, 1, 0, 0], [ -1, 0, -1, 1, 1, 1, 0, 1], [ 0, 0, 0, 0, 0, 1, 0, 0], [ 0, -1, 0, 0, 0, -1, -1, 0], [ -1, 0, -1, 1, 0, 1, 0, 1]]",-1,,,1-7*t+20*t^2-36*t^3+43*t^4-36*t^5+20*t^6-7*t^7+t^8
12a_299,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, -1, 0, 0, 0], [ 0, 0, 0, 0, -1, 0, 0, 0], [ 0, -1, 0, 0, -1, -1, -1, -1], [ 0, -1, 0, 0, -1, 0, -1, 0], [ 0, -1, 0, 0, -1, 0, -1, -1]]",1,,,1-7*t+20*t^2-33*t^3+39*t^4-33*t^5+20*t^6-7*t^7+t^8
12a_300,"[[ -1, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0], [ -1, 0, -1, 0, 0, 0], [ -1, 0, -1, 1, -1, 0], [ 0, 0, 0, 0, -1, 0], [ 0, 1, 0, 0, 1, -2]]",2,,,2-14*t+37*t^2-49*t^3+37*t^4-14*t^5+2*t^6
12a_301,"[[ -1, 0, 0, 0, 0, 0], [ 0, 2, 0, 1, 0, 1], [ -1, 0, -1, 0, 0, 0], [ -1, 0, -1, 1, 0, 0], [ 0, 0, 0, -1, -1, -1], [ 0, 1, 0, 1, 0, 2]]",-3,,,3-20*t+52*t^2-71*t^3+52*t^4-20*t^5+3*t^6
12a_302,"[[ -1, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, 0, 0], [ 0, 0, 1, 0, 0, 0], [ 0, 0, -1, 2, 1, 0], [ 0, 0, 0, 0, 1, 0], [ 1, 1, -1, 1, 0, 2]]",4,,,4-16*t+33*t^2-41*t^3+33*t^4-16*t^5+4*t^6
12a_303,"[[ -1, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0], [ -1, 0, -1, 0, 0, 0], [ 0, 0, 0, 1, 0, 0], [ 0, -1, 0, -1, -1, 0], [ 1, 0, 1, -1, 0, 2]]",-2,,,2-14*t+36*t^2-49*t^3+36*t^4-14*t^5+2*t^6
12a_304,"[[ -1, 0, 0, 0, -1, -1, -1, 0], [ 0, -1, -1, 0, 0, 0, 0, 0], [ 0, 0, 1, 0, 0, 0, 0, 0], [ 0, -1, 0, 1, 1, 1, 1, 1], [ 0, 0, 0, 0, 1, 0, 0, 0], [ 0, 0, 0, 0, 1, 1, 1, 0], [ 0, 0, 0, 0, 1, 0, 1, 0], [ 0, 0, 0, 0, 1, 1, 1, 1]]",1,,,1-7*t+18*t^2-27*t^3+31*t^4-27*t^5+18*t^6-7*t^7+t^8
12a_305,"[[ -1, 0, 0, 0, 0, -1, 0, 0], [ 0, -1, -1, 0, 0, 0, 0, 0], [ 0, 0, 1, 0, 0, 0, 0, 0], [ 0, -1, 0, 1, 0, 0, 0, 1], [ -1, 0, 0, 0, -1, -1, 0, 0], [ 0, 0, 0, 0, 0, -1, 0, 0], [ -1, 0, 0, 0, -1, -1, -1, 0], [ 1, 0, 0, 0, 0, 1, 0, 1]]",-1,,,1-7*t+20*t^2-35*t^3+41*t^4-35*t^5+20*t^6-7*t^7+t^8
12a_306,"[[ -1, 0, 0, 0, 1, 0], [ 0, -1, -1, 0, 0, 0], [ 0, 0, 1, 0, 0, 0], [ 0, -1, 0, 1, -1, 1], [ 0, 0, 0, 0, 2, 0], [ 0, 0, 0, 0, -1, 1]]",2,,,2-14*t+35*t^2-45*t^3+35*t^4-14*t^5+2*t^6
12a_307,"[[ -1, -1, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0], [ -1, 0, 1, 0, 0, 1], [ 0, 0, 0, -2, 0, 0], [ 0, 0, 0, -1, -1, 0], [ 0, 0, 0, -1, 0, 1]]",-2,,,2-14*t+37*t^2-51*t^3+37*t^4-14*t^5+2*t^6
12a_308,"[[ 1, 0, 0, 0, 0, 0], [ -1, -1, 0, -1, 1, -1], [ 0, 0, -1, 0, 1, -1], [ -1, 0, 0, -1, 1, 0], [ 0, 0, 0, 0, 2, -1], [ 0, 0, 0, 0, 0, 1]]",-2,,,2-16*t+48*t^2-69*t^3+48*t^4-16*t^5+2*t^6
12a_309,"[[ 1, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 1], [ 1, 0, -2, 1, -1, 0], [ -1, -1, 0, -1, 0, 0], [ 1, 1, -1, 1, -2, 1], [ 0, 0, 0, 0, 0, 1]]",-3,,,3-21*t+58*t^2-81*t^3+58*t^4-21*t^5+3*t^6
12a_310,"[[ 1, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, -1, 0, 0, -1], [ 0, 0, 1, 1, 0, -1, 0, 1], [ 0, 0, 0, 1, 0, 0, 0, 0], [ -1, 0, -1, 0, -1, 0, 0, 0], [ 0, 0, 0, 0, 0, -1, 0, 0], [ 0, 0, 0, 0, 0, -1, -1, 0], [ 0, 0, 0, 1, 0, 0, 0, 1]]",1,,,1-8*t+27*t^2-53*t^3+67*t^4-53*t^5+27*t^6-8*t^7+t^8
12a_311,"[[ 1, 0, 0, 0, 0, 0], [ 1, -2, -1, -1, -2, -1], [ 1, -1, -2, -1, -1, -1], [ 1, -2, -1, -2, -2, -1], [ 1, -1, -1, -1, -2, -1], [ 1, -1, 0, -1, -1, -2]]",-5,,,5-23*t+42*t^2-49*t^3+42*t^4-23*t^5+5*t^6
12a_312,"[[ 1, 0, 0, 0], [ -1, -3, 1, 1], [ 1, 1, -2, -1], [ 1, 1, 0, -2]]",-9,,,9-40*t+61*t^2-40*t^3+9*t^4
12a_313,"[[ -1, -1, 0, 0, 0, 0], [ 0, -2, 0, -1, 0, 0], [ 0, 0, -1, 1, 0, 0], [ 0, 0, 0, -2, 0, 0], [ 0, 1, -1, 1, 1, 1], [ 0, 0, 0, 0, 0, 1]]",4,,,4-20*t+48*t^2-63*t^3+48*t^4-20*t^5+4*t^6
12a_314,"[[ -1, -1, -1, 0, 0, -1], [ 0, -2, -1, 0, 0, -2], [ 0, -1, -2, 0, 0, -1], [ 0, 0, 0, -1, 0, 0], [ 0, 0, -1, 1, 1, -1], [ 0, -1, -1, 0, 0, -2]]",-3,,,3-21*t+51*t^2-67*t^3+51*t^4-21*t^5+3*t^6
12a_315,"[[ -1, 0, -1, -1, -1, 0], [ 0, 1, 0, 0, 0, 0], [ 0, 0, -2, -1, -2, -1], [ 0, 0, -1, -2, -1, 0], [ 0, 0, -1, -1, -2, -1], [ 0, 1, 0, 1, 0, -2]]",-5,,,5-24*t+50*t^2-63*t^3+50*t^4-24*t^5+5*t^6
12a_316,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, 0, 1, 0, 0], [ 0, -1, 0, -1, -1, -1, -1, 0], [ 0, 0, 0, 0, 0, 1, 0, 0], [ -1, 0, -1, 1, 0, 1, 1, 0], [ 0, -1, 0, -1, -1, -1, 0, -1]]",1,,,1-8*t+29*t^2-62*t^3+81*t^4-62*t^5+29*t^6-8*t^7+t^8
12a_317,"[[ -1, 0, 0, 0, 0, 0], [ 0, 2, 0, 1, 1, 0], [ -1, 0, -1, 0, 0, 0], [ -1, 0, -1, 1, 0, 0], [ 0, 1, 0, 1, 2, 1], [ 1, 1, 1, 0, 1, 2]]",5,,,5-25*t+60*t^2-79*t^3+60*t^4-25*t^5+5*t^6
12a_318,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, 0, 1, 0, 0], [ -1, 0, -1, 1, 1, 1, 1, 0], [ 0, 0, 0, 0, 0, 1, 0, 0], [ -1, 0, -1, 1, 0, 1, 1, 0], [ 0, -1, 0, -1, 0, -1, -1, -1]]",-1,,,1-7*t+22*t^2-43*t^3+53*t^4-43*t^5+22*t^6-7*t^7+t^8
12a_319,"[[ -1, 1, -1, 0, 0, 0], [ 0, -3, 1, 0, -1, 0], [ 0, 1, -2, 0, -1, 0], [ 0, 0, -1, -1, -1, 0], [ 0, -1, 0, 0, -2, 0], [ 0, 0, -1, -1, -1, -1]]",7,,,7-23*t+39*t^2-45*t^3+39*t^4-23*t^5+7*t^6
12a_320,"[[ -1, 1, 1, 1], [ 0, -3, -1, -2], [ 0, -1, -3, -1], [ 0, -2, -2, -3]]",12,,,12-39*t+55*t^2-39*t^3+12*t^4
12a_321,"[[ -1, 0, -1, -1, 0, 0, -1, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ 0, -1, -2, -2, 0, 0, -2, 0], [ 0, 0, -1, -2, 0, 0, -1, 0], [ 0, -1, -1, -1, -1, -1, -1, -1], [ 0, -1, -1, -1, 0, -1, -1, 0], [ 0, -1, -1, -2, 0, 0, -2, 0], [ 0, -1, -1, -1, 0, -1, -1, -1]]",-2,,,2-10*t+22*t^2-33*t^3+37*t^4-33*t^5+22*t^6-10*t^7+2*t^8
12a_322,"[[ -1, 0, -1, -1, -1, 0], [ 0, 1, 0, 0, 0, 0], [ 0, -1, -2, -2, -2, 0], [ 0, 0, -1, -2, -1, 0], [ 0, -1, -1, -2, -2, 0], [ 0, 1, 1, 1, 1, -2]]",-4,,,4-20*t+42*t^2-53*t^3+42*t^4-20*t^5+4*t^6
12a_323,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, 0, 0, 0, 0], [ -1, -1, 1, 1, 1, 0, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 0], [ 0, 0, 0, 0, -1, 0, 0, 0], [ -1, -1, 0, 0, 1, 1, 1, 1], [ 0, 0, 0, 0, 0, 0, 1, 0], [ 0, 0, 0, 0, -1, 0, 0, -1]]",1,,,1-8*t+28*t^2-55*t^3+69*t^4-55*t^5+28*t^6-8*t^7+t^8
12a_324,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, 0, 0, 0, 0], [ -1, -1, 1, 1, 0, 0, 0, 1], [ 0, 0, 0, 1, 0, 0, 0, 0], [ 0, 0, 0, 0, -1, 0, 0, 0], [ -1, -1, 0, 0, 1, 1, 1, 0], [ 0, 0, 0, 0, 0, 0, 1, 0], [ -1, -1, 0, 1, 1, 0, 0, 1]]",-1,,,1-8*t+26*t^2-49*t^3+59*t^4-49*t^5+26*t^6-8*t^7+t^8
12a_325,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, 0, 0, 0, 0], [ -1, -1, 1, 0, 1, 0, -1, 0], [ -1, -1, 0, 1, 0, 0, 0, 1], [ 0, 0, 0, 0, 1, 0, -1, 0], [ -1, -1, 1, 0, 1, 1, -1, 0], [ 0, 0, 0, 0, 0, 0, -1, 0], [ 0, 0, 0, 0, 0, 0, 1, 1]]",-1,,,1-8*t+27*t^2-53*t^3+65*t^4-53*t^5+27*t^6-8*t^7+t^8
12a_326,"[[ -1, -1, 0, 0, 0, -1], [ 0, -2, 0, 0, 0, -1], [ 0, 0, 1, 0, 0, -1], [ 0, 0, 0, -1, 0, 0], [ 0, -1, 1, 1, 1, -1], [ 0, -1, 0, 0, 0, -2]]",3,,,3-19*t+51*t^2-69*t^3+51*t^4-19*t^5+3*t^6
12a_327,"[[ -1, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, 0, 0], [ 0, 0, 1, 0, 0, 0], [ 1, 1, -1, 2, 0, 0], [ 0, 0, 0, 0, 1, 0], [ 1, 1, 0, 1, -1, 2]]",4,,,4-18*t+40*t^2-51*t^3+40*t^4-18*t^5+4*t^6
12a_328,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, 0, 1, 0, 0], [ 0, -1, 0, -1, -1, -1, 0, 0], [ 0, 0, 0, 0, 0, 1, 0, 0], [ 0, -1, 0, -1, -1, -1, -1, 0], [ 0, -1, 0, 0, -1, -1, -1, -1]]",-1,,,1-8*t+27*t^2-52*t^3+63*t^4-52*t^5+27*t^6-8*t^7+t^8
12a_329,"[[ 1, 0, 0, 0, 0, 0], [ 0, -2, -1, 1, -1, 1], [ 1, 0, -2, 0, 0, 0], [ 0, 0, 0, -1, 0, -1], [ 0, -2, -1, 1, -2, 1], [ 0, 0, 0, 0, 0, -1]]",-4,,,4-17*t+31*t^2-37*t^3+31*t^4-17*t^5+4*t^6
12a_330,"[[ 1, 0, 0, 0], [ 0, -1, 0, -1], [ 1, 0, -2, 0], [ 0, 0, 1, -3]]",-6,,,6-24*t+35*t^2-24*t^3+6*t^4
12a_331,"[[ -1, -1, 0, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ 0, 0, 1, -1, 0, 0, 0, 0], [ -1, -1, 0, -1, 0, 0, 0, 0], [ -1, 0, 0, 0, 1, 0, 1, 0], [ -1, 0, 0, 0, 1, 1, 1, 1], [ 0, 0, 0, 0, 0, 0, 1, 0], [ -1, 0, 0, 0, 1, 0, 1, 1]]",1,,,1-7*t+22*t^2-37*t^3+43*t^4-37*t^5+22*t^6-7*t^7+t^8
12a_332,"[[ -1, -1, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0], [ 0, 0, 1, -1, 0, 0], [ -1, -1, 0, -1, 0, 0], [ 0, 0, 0, 0, 1, 0], [ 1, 0, 0, 0, -1, 2]]",2,,,2-14*t+41*t^2-57*t^3+41*t^4-14*t^5+2*t^6
12a_333,"[[ 1, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, 0, -1, 0, -1, 0, -1], [ 0, 0, -1, 0, 0, 0, -1, 0], [ 0, 0, 0, 1, 1, 0, 0, 1], [ 0, 0, 0, 0, 1, 0, 0, 0], [ -1, 0, 0, -1, 0, -1, 0, 0], [ 0, 0, 0, 0, 0, 0, -1, 0], [ 0, 0, -1, 0, 1, 0, -1, 1]]",1,,,1-8*t+27*t^2-52*t^3+65*t^4-52*t^5+27*t^6-8*t^7+t^8
12a_334,"[[ -1, -1, 0, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ 0, 0, 1, -1, 0, 0, 0, 0], [ -1, -1, 0, -1, -1, 0, -1, 0], [ -1, -1, 0, 0, -1, 0, 0, 0], [ -1, 0, 0, 0, -1, 1, -1, 1], [ -1, -1, 0, 0, -1, 0, -1, 0], [ 0, 0, 0, 0, -1, 0, -1, 1]]",1,,,1-8*t+28*t^2-54*t^3+67*t^4-54*t^5+28*t^6-8*t^7+t^8
12a_335,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, -1, 0, 0, 0], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, -1, 0, 0, 0], [ 0, 0, 0, 0, -1, 0, 0, 0], [ -1, -1, -1, 0, -1, 1, -1, 1], [ 0, -1, 0, 0, -1, 0, -1, 0], [ 0, -1, 0, 0, 0, 0, -1, 1]]",-1,,,1-9*t+30*t^2-59*t^3+73*t^4-59*t^5+30*t^6-9*t^7+t^8
12a_336,"[[ -1, 0, -1, 0, 1, 0], [ 0, 1, 0, 0, 0, 0], [ 0, 0, -2, 0, 1, 0], [ 0, -1, -1, -1, 1, 0], [ 0, 1, 2, 0, -3, 0], [ 0, 0, 0, 0, -1, -1]]",-4,,,4-22*t+49*t^2-63*t^3+49*t^4-22*t^5+4*t^6
12a_337,"[[ 1, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0], [ 1, 0, -2, 1, -1, 0], [ -1, -1, 0, -1, 0, 0], [ 1, 0, -1, 1, -2, 0], [ 0, -1, 0, 0, -1, -1]]",3,,,3-22*t+62*t^2-85*t^3+62*t^4-22*t^5+3*t^6
12a_338,"[[ -1, -1, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0], [ 1, 1, -2, 0, 0, 0], [ 0, 0, -1, -1, 0, 0], [ -1, 0, 0, 0, 1, -1], [ 0, 0, 0, 0, 0, -1]]",2,,,2-16*t+45*t^2-61*t^3+45*t^4-16*t^5+2*t^6
12a_339,"[[ 1, 0, 0, 0], [ -1, -3, 0, -1], [ 1, 1, -2, 0], [ 0, -1, -1, -2]]",-9,,,9-39*t+59*t^2-39*t^3+9*t^4
12a_340,"[[ 1, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, 0, -1], [ 1, -1, -2, -1, -1, -1], [ 1, -1, -1, -2, -1, -1], [ 1, -1, -1, -2, -2, 0], [ 0, 0, 0, 0, 0, 1]]",3,,,3-21*t+59*t^2-81*t^3+59*t^4-21*t^5+3*t^6
12a_341,"[[ 1, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, -1, 0, -1, -1, -1], [ -1, 0, -1, -1, 0, 0, -1, 0], [ 0, 0, 0, 1, 0, 0, 1, 1], [ 0, 0, 0, -1, -1, 0, -1, -1], [ -1, 0, -1, -1, 0, -1, -1, -1], [ 0, 0, 0, 0, 0, 0, 1, 1], [ 0, 0, 0, 0, 0, 0, 0, 1]]",1,,,1-8*t+26*t^2-49*t^3+61*t^4-49*t^5+26*t^6-8*t^7+t^8
12a_342,"[[ 1, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, 0, -1, -1, -1], [ -1, 0, -1, 0, 0, 0, -1, 0], [ 0, 0, 0, -1, 0, 0, 1, 0], [ 0, 0, 0, 0, 1, 0, 0, 0], [ -1, 0, -1, 0, 0, -1, -1, -1], [ 0, 0, 0, 0, 1, 0, 1, 1], [ 0, 0, 0, 0, 1, 0, 0, 1]]",1,,,1-8*t+26*t^2-51*t^3+65*t^4-51*t^5+26*t^6-8*t^7+t^8
12a_343,"[[ 1, 0, 0, 0, 0, 0], [ 0, -1, 0, -1, 0, -1], [ 1, -1, -2, -1, -1, -1], [ 0, 0, 0, -1, 0, -1], [ 1, -1, -1, -1, -2, 0], [ 0, 0, 0, 0, 0, 1]]",3,,,3-19*t+47*t^2-61*t^3+47*t^4-19*t^5+3*t^6
12a_344,"[[ -1, 1, 0, 0, 0, 0], [ 0, -3, -1, 0, -1, 0], [ 0, -1, -2, 0, -2, 0], [ 0, 0, -1, -1, -1, 0], [ 0, -1, -1, 0, -2, 0], [ 0, 0, -1, -1, -1, -1]]",5,,,5-17*t+30*t^2-35*t^3+30*t^4-17*t^5+5*t^6
12a_345,"[[ -1, 1, 0, 0], [ 0, -3, 1, 0], [ 0, 1, -3, 0], [ 0, 0, -1, -1]]",8,,,8-26*t+37*t^2-26*t^3+8*t^4
12a_346,"[[ -1, 0, -1, 0, 0, 0, -1, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ 0, -1, -2, -1, -1, 0, -2, -1], [ 0, 1, 0, 1, 0, 0, 0, 0], [ 0, 1, 0, 1, 1, 0, 0, 1], [ 0, -1, -1, -1, -1, -1, -1, -1], [ 0, 0, -1, -1, -1, 0, -2, -1], [ 0, 1, 0, 1, 0, 0, 0, 1]]",2,,,2-11*t+27*t^2-42*t^3+49*t^4-42*t^5+27*t^6-11*t^7+2*t^8
12a_347,"[[ -1, 0, -1, 0, -1, 0], [ 0, 1, 0, 0, 0, 0], [ 0, -1, -2, 0, -2, 1], [ 0, -1, -1, -1, -1, 1], [ 0, 0, -1, 0, -2, 1], [ 0, -1, 0, 0, 0, 2]]",4,,,4-23*t+54*t^2-69*t^3+54*t^4-23*t^5+4*t^6
12a_348,"[[ 1, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0], [ 1, 0, -2, 1, 0, 0], [ -1, -1, 0, -1, 0, 0], [ 0, 0, 0, 0, 1, -1], [ 0, -1, -1, 0, 0, -1]]",-2,,,2-17*t+54*t^2-79*t^3+54*t^4-17*t^5+2*t^6
12a_349,"[[ -1, 0, -1, 0, 0, 0, -1, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ 0, 0, 1, 0, 0, 0, 0, 0], [ -1, 0, 0, 1, 0, 1, 0, 0], [ -1, 0, 0, 1, 1, 1, -1, 1], [ 0, 0, 0, 0, 0, 1, 0, 0], [ 0, 1, -1, 0, 0, 0, -1, 0], [ -1, 0, 0, 1, 0, 1, -1, 1]]",1,,,1-8*t+26*t^2-43*t^3+49*t^4-43*t^5+26*t^6-8*t^7+t^8
12a_350,"[[ 1, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, -1, 0], [ 1, 0, -2, -1, -1, -2], [ 1, 0, -1, -2, -1, -1], [ 1, 0, -1, 0, -2, -1], [ 1, 0, -1, -1, -1, -2]]",-5,,,5-25*t+52*t^2-65*t^3+52*t^4-25*t^5+5*t^6
12a_351,"[[ -1, 0, -1, -1, 0, 0, -1, -1], [ 0, 1, 0, 0, 0, 0, 0, 0], [ 0, 0, 1, 0, 0, 0, 0, 0], [ 0, 1, -1, -1, 0, 0, -1, -1], [ -1, 0, 0, -1, 1, 1, 0, -1], [ 0, 0, 0, 0, 0, 1, 0, 0], [ 0, 1, -1, 0, 0, 0, -1, 0], [ 0, 1, -1, 0, 0, 0, -1, -1]]",1,,,1-7*t+24*t^2-48*t^3+61*t^4-48*t^5+24*t^6-7*t^7+t^8
12a_352,"[[ -1, 0, -1, -1, 0, 0, -1, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ 0, 0, 1, 0, 0, 0, 0, 0], [ 0, 1, -1, -1, 0, 0, -1, 0], [ -1, 0, 0, -1, 1, 1, -1, 1], [ 0, 0, 0, 0, 0, 1, 0, 0], [ 0, 1, -1, 0, 0, 0, -1, 0], [ -1, 0, 0, -1, 0, 1, 0, 1]]",-1,,,1-8*t+28*t^2-57*t^3+71*t^4-57*t^5+28*t^6-8*t^7+t^8
12a_353,"[[ -1, -1, 0, 0, 0, 0], [ 0, -2, -1, 0, -1, 0], [ 0, 0, -2, 0, -1, 0], [ 0, 1, 0, 1, 0, 1], [ 0, 0, -2, 0, -2, 0], [ 0, 0, -1, 0, -1, 1]]",4,,,4-19*t+43*t^2-55*t^3+43*t^4-19*t^5+4*t^6
12a_354,"[[ -1, 0, -1, 0, -1, 0], [ 0, 1, 0, 0, 0, 0], [ 0, 0, -2, 0, -1, -1], [ 0, 1, 0, 1, 0, 0], [ 0, 0, -1, -1, -2, 0], [ 0, 1, 0, 1, 1, -2]]",5,,,5-26*t+60*t^2-77*t^3+60*t^4-26*t^5+5*t^6
12a_355,"[[ -1, 1, -1, 0, -1, 0], [ 0, -3, 1, 0, 1, 0], [ 0, 1, -2, 0, -2, 0], [ 0, 0, -1, -1, -1, 0], [ 0, 1, -1, 0, -2, 0], [ 0, 0, -1, -1, -1, -1]]",5,,,5-16*t+27*t^2-31*t^3+27*t^4-16*t^5+5*t^6
12a_356,"[[ -1, 1, 1, 0], [ 0, -3, -1, 0], [ 0, -1, -3, 0], [ 0, 0, -1, -1]]",8,,,8-25*t+35*t^2-25*t^3+8*t^4
12a_357,"[[ -1, -1, 0, 0, 0, -1], [ 0, -2, 0, 0, 0, -1], [ 0, 1, 1, 1, 0, 0], [ 0, 0, 0, 1, 0, 0], [ 0, 0, 0, 0, 1, -1], [ 0, -1, 0, 0, 0, -2]]",-3,,,3-17*t+40*t^2-53*t^3+40*t^4-17*t^5+3*t^6
12a_358,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, -1, 0, 0, -1], [ 0, -1, 0, 0, -1, -1, 0, -1], [ 0, 1, 0, 0, 0, 1, 0, 0], [ 0, -1, 0, 0, -1, -1, -1, -1], [ 0, 0, 0, 0, 0, -1, 0, -1]]",-1,,,1-8*t+28*t^2-56*t^3+69*t^4-56*t^5+28*t^6-8*t^7+t^8
12a_359,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, -1, 0, -1, 1], [ 0, -1, 0, 0, -1, -1, -1, 0], [ 0, 1, 0, 0, 0, 1, 0, 0], [ 0, 0, 0, 0, 0, -1, -1, 0], [ 0, 0, 0, 0, -1, 0, 0, 1]]",1,,,1-9*t+33*t^2-67*t^3+85*t^4-67*t^5+33*t^6-9*t^7+t^8
12a_360,"[[ 1, 0, 0, 0, 0, 0], [ 0, 1, 0, -1, 0, -1], [ 1, 0, -2, -1, 0, -1], [ 1, 0, -2, -2, 0, -1], [ 0, 1, -1, -1, 1, -1], [ 1, 0, -1, -1, 0, -2]]",-3,,,3-20*t+53*t^2-73*t^3+53*t^4-20*t^5+3*t^6
12a_361,"[[ -1, 0, 0, -1, -1, 0, 0, 0], [ 0, -1, -1, 0, 0, 0, 0, 0], [ 0, 0, 1, 0, 0, 0, 0, 0], [ 0, 0, 0, 1, 0, -1, 0, 0], [ 0, 0, 0, -1, -1, 0, -1, -1], [ 0, -1, -1, 0, 0, -1, 0, 0], [ 0, -1, 0, 1, 0, -1, 1, 1], [ 0, 0, 0, 1, 0, -1, 0, 1]]",1,,,1-9*t+34*t^2-73*t^3+95*t^4-73*t^5+34*t^6-9*t^7+t^8
12a_362,"[[ -1, 1, -1, 0, 0, 0, 1, 0], [ 0, 1, 0, 1, 0, 0, 1, 0], [ 0, 0, 1, 0, 0, 0, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 0], [ -1, 0, 0, 0, 1, -1, 0, 1], [ -1, 1, -1, 1, 0, -1, 1, 0], [ 0, 0, 0, 1, 0, 0, 1, 0], [ 0, 0, 0, 0, 0, -1, 0, 1]]",1,,,1-9*t+31*t^2-56*t^3+67*t^4-56*t^5+31*t^6-9*t^7+t^8
12a_363,"[[ -1, 1, -1, 0, 0, 0, -1, 1], [ 0, 1, 0, 1, 0, 0, 0, 1], [ 0, 0, 1, 0, 0, 0, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 0], [ -1, 0, 0, 0, 1, 1, 0, 0], [ 0, 0, 0, 0, 0, 1, 0, 0], [ 0, 1, -1, 0, 0, 0, -1, 0], [ 0, 0, 0, 1, 0, 0, 0, 1]]",1,,,1-8*t+27*t^2-49*t^3+59*t^4-49*t^5+27*t^6-8*t^7+t^8
