name,seifert_matrix,det_seifert_matrix,laplacian,det_laplacian,alexander_polynomial
Name,Seifert Matrix,Error,Laplacian,Laplacian Determinant,Alexander
12a_806,"[[ 1, 0, 0, 0, 0, 0, -1, 0], [ 0, -1, 0, 0, 0, 0, 0, 0], [ 0, -1, -1, 0, 0, 0, 0, 0], [ 1, -1, -1, 1, 0, 0, -1, 1], [ -1, 1, 1, -1, 2, 0, 1, -1], [ 1, -1, -1, 1, -1, 1, -1, 1], [ 0, -1, -1, 0, 0, 0, -1, 0], [ 1, 0, -1, 0, 0, 0, -1, 1]]",-2,,,2-11*t+27*t^2-44*t^3+51*t^4-44*t^5+27*t^6-11*t^7+2*t^8
12a_807,"[[ 1, 0, 0, 0, -1, 0, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0], [ 0, -1, -1, 0, 0, 0, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 1], [ 0, -1, -1, 0, -1, 0, 0, 0], [ 1, 0, -1, 0, -1, 1, 0, 0], [ -1, 1, 1, 1, 1, -1, 2, 1], [ 0, 0, 0, 0, 0, 0, 0, 1]]",-2,,,2-11*t+28*t^2-47*t^3+55*t^4-47*t^5+28*t^6-11*t^7+2*t^8
12a_808,"[[ 1, 0, 0, 0, -1, 0], [ 0, -1, 0, 0, 0, 0], [ 0, -1, -1, 0, 0, 0], [ 1, -1, -1, 3, -1, 1], [ 0, -1, -1, 0, -1, 0], [ 1, 0, -1, 0, -1, 1]]",-3,,,3-15*t+32*t^2-41*t^3+32*t^4-15*t^5+3*t^6
12a_809,"[[ 1, 0, 0, 0, 0, 0, 0, 0], [ 0, -1, 0, 1, -1, -1, -1, -1], [ -1, 0, -1, -1, 1, 1, 1, 1], [ 1, 0, 0, 1, 0, 0, 0, 0], [ 0, 0, 0, 1, -2, -2, -2, -2], [ 0, 0, 0, 1, -1, -2, -1, -2], [ 0, 0, 0, 1, -1, -2, -2, -2], [ 0, 0, 0, 1, -1, -1, -1, -2]]",2,,,2-11*t+27*t^2-39*t^3+43*t^4-39*t^5+27*t^6-11*t^7+2*t^8
12a_810,"[[ 1, 0, 0, 0, 0, 0], [ 0, -1, 0, 1, -1, 1], [ -1, 0, -1, -1, 1, -1], [ 1, 0, 0, 1, 0, 0], [ 0, 0, 0, 1, -2, 2], [ 0, 0, 0, -1, 1, -3]]",4,,,4-23*t+57*t^2-75*t^3+57*t^4-23*t^5+4*t^6
12a_811,"[[ -1, 0, 0, 1, 1, 0, 1, 0], [ 0, -1, 0, -1, -1, 0, -1, 0], [ -1, 0, -1, 1, 1, 0, 1, 0], [ 0, 0, 0, -2, -1, 0, -2, 0], [ 0, 0, 0, -1, -2, 0, -1, 0], [ 0, 0, 0, -1, 0, -1, -1, 0], [ 0, 0, 0, -1, -1, 0, -2, 0], [ 0, 0, 0, -1, 0, -1, -1, -1]]",3,,,3-10*t+19*t^2-26*t^3+29*t^4-26*t^5+19*t^6-10*t^7+3*t^8
12a_812,"[[ -1, 0, 0, 1, 1, 1], [ 0, 1, 0, 0, 0, 0], [ -1, 0, -1, 1, 1, 1], [ 0, 1, 0, -2, -1, -1], [ 0, 1, 0, -1, -2, -1], [ 0, 1, 0, 0, -1, -2]]",-5,,,5-23*t+45*t^2-55*t^3+45*t^4-23*t^5+5*t^6
12a_813,"[[ -1, 0, 0, 1, 1, 1, 1, 1], [ 0, -1, 0, -1, -1, -1, -1, -1], [ -1, 0, -1, 1, 1, 1, 1, 1], [ 0, 0, 0, -2, -2, -1, -2, -2], [ 0, 0, 0, -1, -2, -1, -1, -2], [ 0, 0, 0, -1, -1, -2, -1, -1], [ 0, 0, 0, -1, -2, -1, -2, -2], [ 0, 0, 0, -1, -1, -1, -1, -2]]",3,,,3-9*t+16*t^2-22*t^3+25*t^4-22*t^5+16*t^6-9*t^7+3*t^8
12a_814,"[[ -1, 0, 0, 1, -1, 1], [ 0, -1, 0, -1, 1, -1], [ -1, 0, -1, 1, -1, 1], [ 0, 0, 0, -2, 2, -1], [ 0, 0, 0, 1, -3, 1], [ 0, 0, 0, -1, 1, -2]]",6,,,6-20*t+34*t^2-39*t^3+34*t^4-20*t^5+6*t^6
12a_815,"[[ -1, -1, 0, -1, 0, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, -1, 0, 0, 0, 0, 0, 0], [ 0, -1, 0, -1, 0, 0, 0, 0, 0, 0], [ 0, -1, 0, -1, 1, 0, 0, 1, 0, 0], [ 0, -1, 0, -1, 1, 1, 0, 1, 1, 0], [ 0, -1, 0, -1, 1, 1, 1, 1, 1, 1], [ 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [ 0, -1, 0, -1, 1, 0, 0, 1, 1, 0], [ 0, -1, 0, -1, 1, 1, 0, 1, 1, 1]]",1,,,1-3*t+7*t^2-12*t^3+16*t^4-17*t^5+16*t^6-12*t^7+7*t^8-3*t^9+t^10
